                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3601,                 3.8277,                 4.2096,                0.00148,                 0.0396,                 0.0008,                 0.0001,                 4.0891,                 3.7454,                 4.1603,                  8e-05,                  8e-05,                  8e-05
                      2,                 4.3303,                 3.7602,                 4.1869,                0.00148,                 0.0396,                0.00081,                0.00012,                 4.0891,                 3.7358,                 4.1586,             0.00017109,             0.00017109,             0.00017109
                      3,                 4.3807,                 3.5737,                 4.1355,                0.00148,                 0.0396,                 0.0008,                 0.0001,                 4.0838,                 3.7173,                 4.1551,             0.00025228,             0.00025228,             0.00025228
                      4,                 4.1106,                 2.9408,                 4.0775,                0.00148,                 0.0396,                 0.0008,                 0.0001,                 4.0767,                 3.7008,                 4.1505,             0.00032357,             0.00032357,             0.00032357
                      5,                 3.9791,                 2.5033,                 3.9835,                0.00111,                 0.0297,                0.00062,                0.00012,                 4.0711,                 3.6943,                 4.1467,             0.00038496,             0.00038496,             0.00038496
                      6,                 3.8072,                 2.2484,                 3.8677,                0.00111,                 0.0297,                0.00063,                  6e-05,                 4.0696,                 3.6999,                 4.1445,             0.00043645,             0.00043645,             0.00043645
                      7,                  3.689,                 2.2079,                 3.7776,                0.00111,                 0.0297,                0.00063,                  6e-05,                 4.0603,                 3.7193,                 4.1414,             0.00047804,             0.00047804,             0.00047804
                      8,                 3.3533,                 2.2266,                 3.6816,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.0587,                 3.7369,                 4.1406,             0.00050973,             0.00050973,             0.00050973
                      9,                 3.2685,                 2.1551,                 3.6157,                0.00111,                 0.0297,                0.00063,                  8e-05,                 4.0558,                 3.7685,                 4.1433,             0.00053152,             0.00053152,             0.00053152
                     10,                 3.1323,                 2.1298,                  3.476,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.0564,                 3.7881,                 4.1456,             0.00054341,             0.00054341,             0.00054341
                     11,                 2.9021,                 2.2718,                 3.3233,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.0732,                 3.8552,                  4.162,              0.0005454,              0.0005454,              0.0005454
                     12,                  2.945,                 2.2877,                 3.2606,                0.00111,                 0.0297,                0.00062,                  8e-05,                   4.07,                 3.8508,                  4.165,             0.00053749,             0.00053749,             0.00053749
                     13,                 2.7576,                 2.2563,                 3.2001,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.0617,                 3.8266,                 4.1619,             0.00051968,             0.00051968,             0.00051968
                     14,                 2.7098,                 2.2147,                  3.177,                0.00111,                 0.0297,                0.00062,                  8e-05,                  4.064,                 3.7457,                 4.1695,             0.00049197,             0.00049197,             0.00049197
                     15,                 2.6857,                 2.1612,                 3.1216,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.0974,                 3.7941,                 4.1956,             0.00045436,             0.00045436,             0.00045436
                     16,                 2.7447,                   2.15,                 3.0562,                0.00111,                 0.0297,                0.00062,                  8e-05,                 4.1118,                 3.8101,                 4.2074,             0.00040685,             0.00040685,             0.00040685
                     17,                 2.6641,                 2.1289,                  3.046,                0.00148,                 0.0396,                0.00082,                0.00014,                 4.1058,                 3.7772,                 4.2045,             0.00034944,             0.00034944,             0.00034944
                     18,                 2.6397,                 2.1421,                 2.9897,                0.00148,                 0.0396,                0.00082,                  8e-05,                 4.0929,                 3.7531,                 4.1974,             0.00028213,             0.00028213,             0.00028213
                     19,                 2.6225,                 2.0845,                 2.9168,                0.00148,                 0.0396,                0.00082,                 0.0001,                 4.0898,                 3.7484,                 4.1956,             0.00020492,             0.00020492,             0.00020492
                     20,                   2.64,                 2.0855,                 2.8863,                0.00148,                 0.0396,                0.00082,                  8e-05,                 4.0683,                 3.7242,                 4.1846,             0.00011781,             0.00011781,             0.00011781
